"question","answer"
"Berapakah suhu ideal untuk Ayam DOC?","Pada minggu pertama setelah penetasan yaitu 32-35°C, pada minggu kedua 30-33°C, setelah itu suhu dapat turun sekitar 2-3°C per minggu setelahnya hingga mencapai suhu lingkungan sekitar pada minggu keenam."
"Berapakah suhu ideal untuk Ayam Broiler?","Pada tahap brooding antara 32°C hingga 35°C. Pada masa pertumbuhan 30°C hingga 25°C. Pada masa penyelesaian 18°C hingga 21°C."
"Berapakah suhu ideal untuk Ayam Petelur?","Umur 0–4 hari: Suhu ideal 32–35°C. Umur 5–7 hari: Suhu ideal 31–34°C. Umur 8–14 hari: Suhu ideal 29–31°C. Umur 15–21 hari: Suhu ideal 28–30°C."
"Berapakah suhu ideal untuk kandang close house?","Untuk kandang close house yang relatif tertutup, suhu yang nyaman berkisar 22–25°C."
"Berapakah kelembaban ideal untuk ayam?","Idealnya, kelembaban kandang harus dijaga antara 30–50% pada ayam umur 0–7 hari dan 40–60% pada ayam umur lebih dari 8 hari."
"Berapakah suhu ideal air minum ayam?","Ayam menyukai air minum dengan suhu di kisaran 21–24°C. Jika di atas 24°C, akan mengakibatkan konsumsi minum tidak tercapai dan berkorelasi terhadap konsumsi pakan."
"Kenapa ayam saya tidak nafsu makan?","Kenaikan suhu kandang dapat menyebabkan nafsu makan berkurang hingga mencapai 25%. Akibatnya, ayam akan minum air dengan volume yang lebih banyak sehingga metabolisme mengalami gangguan."
"Kenapa ayam heat stres?","Suhu udara yang tinggi rentan membuat ayam mengalami heat stress. Kondisi tersebut mengakibatkan ayam tidak mampu untuk menyeimbangkan antara produksi dan pembuangan panas tubuhnya."
"Kenapa ayam hipertermia?","Hipertermia: Suhu tubuh ayam yang melebihi 42°C dapat menyebabkan hipertermia, kondisi yang mengancam jiwa."
"Bagaimana jika kelembaban terlalu tinggi?","Kelembaban yang terlalu tinggi dapat menyebabkan ayam mengalami hipertermia dan sulit bernapas."
"Bagaimana jika kelembaban terlalu rendah?","Kelembaban yang terlalu rendah dapat menyebabkan ayam mengalami dehidrasi."
"Kenapa ayam di pojok?","Ayam yang mengalami stres panas akan mencoba menjauhi sumber panas."
"Apakah pemanas harus selalu berubah?","Kontrol suhu brooding sebaiknya dilakukan secara periodik dan sesering mungkin. Pengukuran suhu biasanya hanya dilakukan untuk melihat suhu udara dalam kandang. Tetapi, pemanas dapat mati dan menyala secara otomatis dengan ThermoFarm!"
